ID;Стоимость
10422379;2954324
192714934;2411639
100335930;4021339
113635973;3824165
125525832;14055553
121195995;6771199
143645988;7967372
156495381;3703133
156565385;6368719
159885518;12382985
170515351;8281168
173835484;5818511
172215580;4040470
184325294;7520355
114596132;13639904
146656449;3108805
140366644;4009117
167296244;10803430
198296575;2795788
103957863;6178683
148627161;11158952
173977335;12897573
171047649;12424879
171107643;5237639
175977682;7867978
175907683;7934036
175917683;8447472
175987683;8435417
175967684;6826280
175917685;7853939
175907686;6831838
175917686;7845845
175977686;8450386
175967688;7854662
175977688;6854100
173567738;7792071
173597738;7792071
173697733;8173684
173697735;8368580
173757735;6521370
173707738;8322716
173767738;8322716
173827731;6478705
108268396;3971369
117508556;3256252
126798133;7860357
142748867;6271031
147258863;8184056
147838956;8169763
164388222;8173684
164348224;6403484
164398224;8368580
164398225;8312146
164378226;8326306
164388226;8326474
164378227;4948940
164308228;7858063
164318228;7858063
164358228;6879788
164378228;4946691
164328229;7868258
164388229;7868258
161098391;8958336
178968225;10204254
185808007;7893898
185858008;7936428
185038014;7893898
185288017;10362379
180968626;2644915
195548101;12710341
195538102;5235909
195578102;12897573
195588103;6467014
195598104;12926039
195528109;4939108
195568109;4939108
195598109;4943313
191808437;11363154
191948436;8738793
191418784;8492548
192898919;6524725
102899306;7978463
104489954;4948940
109119938;5227744
115539029;6472336
116489087;6556750
116869080;6309581
117989000;17886201
111499261;8290734
111459264;8269008
111529495;3933558
112809405;3949770
112959410;2850040
110479729;2991511
118049741;8248771
123749142;2395652
124469116;7866863
124489116;6826280
129389447;4691251
122409680;4756719
122439680;8032890
122429681;8075541
122479681;10632601
122489681;10610906
120999931;6358838
120999932;6358628
120939933;6372191
120989933;6379485
120919935;6411782
120999935;6269614
120939936;7963842
120949936;6250685
120919938;8201339
120929938;6298858
120949939;6313034
120989939;6364327
120009940;4100888
120039940;6362342
120099940;6358838
120099941;6358628
120039942;6372191
120089942;6379485
120039943;6413564
120019944;6411782
120059944;8644784
120169940;6515064
120129941;6532525
120179942;6505537
120189942;6523964
120129943;6513288
120139943;6537674
120179943;6520606
120189943;6535744
120149944;4809592
120159944;6513865
120199944;4837591
120149945;4911739
120159945;4830207
130459021;2830130
136259016;7132422
136469180;10291541
136419182;8018891
133379231;7958329
135739561;6102226
131749648;5297107
139019862;11953360
134429977;9924310
148049015;5696351
143549365;8112566
143599365;5218983
143549366;4967276
143569366;4948854
143599366;5185187
147779464;12818858
147469709;2849508
148939716;6399538
148949716;7322353
148959716;6470611
148979716;10900773
148099721;6103461
148099727;11008010
148039728;11420866
140479964;6250685
140479965;6298858
140479967;6313034
140419968;8480855
140459968;6364327
140409969;4818060
140439969;6477070
140509960;4907486
140519960;4787756
140539960;6530177
140519961;5317251
152549070;7752555
150959292;11917113
152519201;4328826
157409258;2834323
159999270;9112566
152179607;10369313
157939619;6361511
153509779;12693445
158099753;4773958
154369839;3401586
155429978;3292076
162849313;8047380
166559433;6361521
166479490;2793952
160459552;4860933
165759647;4418698
169169826;5048636
169209878;6556464
170829073;6365101
174189137;52559069
170819288;4187147
177869294;5065382
176629331;12452880
176639331;12365737
176689332;6182962
176639333;12986054
176669333;12321347
176619338;6179940
176769330;12785513
176719331;8710985
176729331;12907791
176759331;12640947
176779331;12574787
176709332;6147897
176789334;12586133
176729335;6161702
176749335;12693002
176769336;13033735
176729338;8797410
176759338;7088662
176799338;4959889
176719339;4949011
176819330;6193195
176859331;12941706
176849332;13030292
176899332;12679798
176819334;6165236
176809335;5256256
176879336;4943687
176839337;4941277
176879337;4941277
176819338;12654992
176939330;13128052
176999330;6220889
176909331;5194951
176939333;7097113
176979333;4957904
176989334;6250419
176969336;13003229
176939339;12801711
176969339;12728780
176019341;5173756
176029342;4951264
176069344;6250675
176029346;12822610
176069346;12772614
176029347;5153856
176019348;7635700
176089348;7067396
176019349;4959287
176069349;12787240
176119342;13179100
176199342;6248197
176129343;5191898
176129345;7657236
176189345;8295009
176179347;4965372
176199347;4965372
176129348;4965372
176159348;4983477
176139349;6259856
176229340;13079141
176209341;13256469
176239342;5184377
176269342;12792659
176259343;4993399
176289343;4981878
176299343;4981878
176249344;12792659
176289347;6269084
176319340;8319752
176369340;8781767
176399341;6269803
176359342;6980131
176399342;4989068
176319343;4989068
176339343;12872121
176309344;6283140
176329345;13081583
176369345;7147400
176389345;5006049
176309347;13021511
176309348;13037661
174049520;7853939
176929564;5944483
176039570;5956352
176059570;7289726
176089572;6424974
176099572;2238923
176069573;4923098
176029575;2211351
176309570;11800315
176349570;11024900
176359570;5756890
176369570;6230046
176399570;6155675
176369571;7110636
176379571;5669074
176359572;10523678
176309573;10494503
176329573;6607137
176329577;4513079
176359577;6216400
176309583;6397157
176429587;7148408
176409589;6797809
176459589;6768388
176509581;3898815
176589582;6067469
176539585;6279913
176599588;4641564
176639581;6797809
176669582;5822054
176669587;6695130
176679587;7733270
176699588;5460104
176799580;5426081
176719583;5426856
176779583;5416026
176749585;5460104
176799585;5419783
176769586;6671221
176799586;5419783
176739587;7213746
176769589;6097219
176899584;6535405
176859585;5420731
176599593;15083917
176559594;3473158
176559595;3245690
176599596;4879087
176589597;7770384
176689594;5688886
176689595;14667711
176649599;14656388
176669599;13676797
176759590;6219282
176799590;15083917
176749596;14381685
176549587;4637715
177469506;6293609
177409507;5995069
177459507;6218960
177489507;6104728
177489508;10915978
177489509;9881657
177559500;7910430
177859508;11903277
177789511;4647607
177749514;4774620
177739516;4774550
177769516;4757562
177919516;4985213
177909518;6162394
177969518;4941644
177339524;14609439
177359526;4376175
177429523;14609439
177529524;4382721
177589524;15321095
177559529;18806305
177619520;6783158
177629525;5958801
177639529;6167759
177359531;6237888
177389531;11052345
177389532;6245784
177319534;7636935
177329534;11130290
177399534;6290364
177309535;9548888
177339535;5834676
177309536;5614872
177319536;7621424
177929535;5603878
177079541;6748825
177349559;5695440
177419551;6286179
177459551;13187625
177479551;14938534
177489551;14827723
177439553;5857102
177499553;5925436
177439555;5709261
177449555;19678001
177479555;5709261
177479557;18161398
177509551;18236706
177589551;6432915
177599553;15676684
177789554;7703528
177749555;7887330
177809551;8120925
177819551;8285642
177819552;8226282
177879554;12697091
177819555;8539827
177829555;9321954
177959556;6327253
177949557;4773702
177959557;8201271
177979558;5467813
177989558;6081959
177919559;11765294
177929559;7816115
177369560;9753462
177389563;9661465
177949567;5772681
177409578;3079035
177549571;18216218
177589575;4353739
177599575;4250104
177509576;2167344
177519576;3720520
177599576;2239130
177629575;6804114
177639575;3851597
177609576;6181323
177689576;6834284
177609577;6126203
177649579;6142537
177749570;5337293
177789570;6003607
177799572;7760509
177709574;4524441
177719574;7769727
177779574;6211720
177769575;6725389
177799575;7723082
177789577;6166087
177729579;7213746
177819573;7818057
177829573;6535405
177859573;7213746
177879573;5407892
177849574;6710889
177869574;5414216
177879574;5412694
177829575;6097219
177809577;5454323
177829577;6206583
177929570;6170656
177919573;6636647
177939573;7236590
177349589;6054482
177809583;10952014
177869587;11075584
177799597;5193904
177719598;4571475
177829590;7625183
177829595;6536788
177879595;6088776
177839597;4811916
177889598;2400422
177919590;3084701
177949591;6201813
178209505;6485953
178239505;14862338
178249506;6451539
178279506;6748825
178379503;15802035
178309505;7511801
178369506;9656406
178329507;5193904
178329508;7407475
178359508;8256959
178379508;5217716
178899503;14793419
178859504;17350034
178879505;6617313
178819508;5523575
178829509;6484124
178969500;7008526
178909502;13870906
178969502;14767397
178949503;6398212
178909506;6173392
178919507;13854556
178949508;6723856
178979508;15662314
178919509;7026402
178989509;6496209
178009511;6042969
178039512;6247486
178009515;6244512
178079515;14968165
178399515;3223961
178359517;6406226
178389517;5869951
178399517;6053751
178309518;6103529
178319519;6181209
178369519;3152357
178399519;3159986
178429510;6082052
178499510;6508157
178409511;6195842
178409512;10153692
178579516;6207290
178589517;6257557
178509518;5915628
178569518;6221302
